Asking Price,Street,City,State,Zip
505900.00,2335 W Chicago Ave #2R, Chicago,IL,60622
425000.00,4016 N California Ave #3, Chicago,IL,60618
649000.00,3850 N Lowell Ave, Chicago,IL,60641
114900.00,6634 S Oakley Ave, Chicago,IL,60636
129000.00,6745 S Campbell Ave, Chicago,IL,60629
310000.00,5908 W Warwick Ave, Chicago,IL,60634
399900.00,40 E Delaware Pl APT 1603, Chicago,IL,60611
375000.00,3217 Darvany Dr, Dallas,TX,75220
150000.00,5302 Bexar St, Dallas,TX,75215
809999.00,18709 Campbell Rd, Dallas,TX,75252
549000.00,6161 Glennox Ln, Dallas,TX,75214
380000.00,4335 Vandelia St, Dallas,TX,75219
217500.00,2366 Ballycastle Dr, Dallas,TX,75228
225000.00,2620 Province Ln, Dallas,TX,75228
95000.00,6646 E Lovers Ln #1808, Dallas,TX,75214
239000.00,2936 Harbinger Ln, Dallas,TX,75287
2595000.00,1 Lakeside Park, Dallas,TX,75225
1075000.00,6506 Prestonshire Ln, Dallas,TX,75225
206000.00,3106 Crest Ridge Dr, Dallas,TX,75228
194900.00,7107 Elderberry Ln, Dallas,TX,75249
529000.00,5821 Goliad Ave, Dallas,TX,75206
225000.00,7308 Little Canyon Rd, Dallas,TX,75249
349900.00,13090 Meandering Way, Dallas,TX,75240
165000.00,10530 Stone Canyon Rd APT 107, Dallas,TX,75230
1400000.00,4200 Shorecrest Dr LOT 14, Dallas,TX,75209
397000.00,6740 Hunters Ridge Dr, Dallas,TX,75248
135000.00,6821 Latta Pkwy, Dallas,TX,75227
995000.00,8625 La Prada Dr, Dallas,TX,75228
347000.00,(undisclosed Address), Dallas,TX,75238
174900.00,8553 Bearden Ln, Dallas,TX,75227
214000.00,2739 Locust Ave, Dallas,TX,75216
539000.00,4219 Somerville Ave, Dallas,TX,75206
499000.00,3246 N Haskell Ave, Dallas,TX,75204
365000.00,3828 San Jacinto St, Dallas,TX,75204
875000.00,6031 Velasco Ave, Dallas,TX,75206
240000.00,4535 Weldon St LOT 11, Dallas,TX,75204
45000.00,509 Parkwood Dr, Dallas,TX,75224
895000.00,6330 Llano Ave, Dallas,TX,75214
154900.00,4337 Kolloch Dr, Dallas,TX,75216
259900.00,4418 Bowser Ave APT 104, Dallas,TX,75219
377990.00,5964 Fox Hill Ln, Dallas,TX,75232
2699999.00,6814 Northport Dr, Dallas,TX,75230
985000.00,8718 Rexford Dr, Dallas,TX,75209
799000.00,701 S Clinton Ave, Dallas,TX,75208
289000.00,3454 Borger St, Dallas,TX,75212
375000.00,10127 Cimmaron Trl, Dallas,TX,75243
480000.00,7503 Aberdon Rd, Dallas,TX,75252
895000.00,3444 Navajo St #10, Denver,CO,80211
329000.00,9300 E Florida Ave UNIT 1004, Denver,CO,80247
995000.00,4715 N Vallejo St, Denver,CO,80211
2600000.00,550 Fillmore St, Denver,CO,80206
599000.00,3201 Olive St, Denver,CO,80207
650000.00,4431 N Tennyson St UNIT 5, Denver,CO,80212
675000.00,4431 N Tennyson St UNIT 1, Denver,CO,80212
662000.00,4431 N Tennyson St UNIT 12, Denver,CO,80212
650000.00,4431 N Tennyson St UNIT 4, Denver,CO,80212
657000.00,4431 N Tennyson St UNIT 8, Denver,CO,80212
1100000.00,4636 Bryant St, Denver,CO,80211
471200.00,5179 N Eliot St, Denver,CO,80221
499000.00,1344 Winona Ct, Denver,CO,80204
310000.00,615 Perry St, Denver,CO,80204
339900.00,1725 Yosemite St, Denver,CO,80220
527500.00,410 Acoma St UNIT 512, Denver,CO,80204
279900.00,677 Vrain St APT 10, Denver,CO,80204
799000.00,3529 Quivas St, Denver,CO,80211
439000.00,350 Detroit St APT 309, Denver,CO,80206
828135.00,6808 E Lowry Blvd, Denver,CO,80230
300000.00,3810 S Yosemite St, Denver,CO,80237
499500.00,350 Detroit St APT 408, Denver,CO,80206
449000.00,1015 E 23rd Ave, Denver,CO,80205
560000.00,2940 S Vine St, Denver,CO,80210
475000.00,400 E 3rd Ave APT 304, Denver,CO,80203
10987000.00,460 Saint Paul St, Denver,CO,80206
575000.00,8246 E Lehigh Ave, Denver,CO,80237
444000.00,412 Raleigh St, Denver,CO,80204
355000.00,8200 E 8th Ave #101, Denver,CO,80230
360000.00,3317 Blake St SUITE 103, Denver,CO,80205
550000.00,2895 Dexter St, Denver,CO,80207
829000.00,1004 S Pennsylvania St, Denver,CO,80209
1050000.00,3222 W 16th Ave, Denver,CO,80204
800000.00,217 W 1st Ave, Denver,CO,80223
289000.00,100 Park Ave W APT 306, Denver,CO,80205
390000.00,4024 Milwaukee St, Denver,CO,80216
370000.00,14566 Andrews Dr, Denver,CO,80239
514999.00,7102 E Wesley Ave, Denver,CO,80224
2895000.00,3479 E Kentucky Ave, Denver,CO,80209
223000.00,7 Versante Ct #7, Houston,TX,77070
357000.00,1230 Sienna Hill Dr, Houston,TX,77077
399000.00,5239 Kiam St, Houston,TX,77007
149500.00,8210 Orebo St, Houston,TX,
319000.00,73 Champion Villa Dr, Houston,TX,77069
745000.00,3925 Case St, Houston,TX,77005
679900.00,13602 Ashley Run, Houston,TX,77077
170000.00,634 Rockbrook Dr, Houston,TX,77015
236000.00,11818 Red Hummingbird Dr, Houston,TX,77047
250000.00,1413 Palmer St, Houston,TX,77003
85000.00,1106 Elberta St, Houston,TX,77051
199900.00,6042 Hyacinth Path Way, Houston,TX,77049
3575000.00,255 Hedwig Rd, Houston,TX,77024
177900.00,2255 Braeswood Park Dr APT 271, Houston,TX,77030
234989.00,6011 Rockfowl Dr, Houston,TX,77049
285000.00,14018 Sandalfoot St, Houston,TX,77095
399900.00,44 N Hutcheson St, Houston,TX,77003
165000.00,3131 Southwest Fwy APT 20, Houston,TX,77098
359900.00,15950 Manor Square Dr, Houston,TX,77062
142000.00,8747 Thistlemoor Ln, Houston,TX,77044
180000.00,10210 Saddlehorn Trl, Houston,TX,77064
210000.00,1850 Portsmouth St APT A, Houston,TX,77098
329000.00,13722 Pear Woods Ct, Houston,TX,77059
229000.00,2007 Marchwood Manor Dr, Houston,TX,77090
230000.00,10006 Autumn Way Dr, Houston,TX,77064
209100.00,4402 Rushing Ridge Ct, Houston,TX,
160000.00,12010 Becca Crossing Way, Houston,TX,77067
219500.00,9518 Skyline Dr, Houston,TX,77063
407506.00,5350 Paisley St, Houston,TX,77096
209900.00,12823 Pecan Shores Dr, Houston,TX,77044
309500.00,2315 Parkdale Dr, Humble,TX,77339
112000.00,3100 Jeanetta St APT 1102, Houston,TX,77063
599900.00,5917 E Post Oak Ln, Houston,TX,
219900.00,1145 Country Place Dr, Houston,TX,77079
130000.00,9025 Gaylord Dr N #111, Houston,TX,77024
245000.00,6846 Oakwood Trace Ct, Houston,TX,77040
825000.00,1600 Post Oak Blvd UNIT 802, Houston,TX,77056
350000.00,1311 Sherwood Springs Ln, Houston,TX,77043
995000.00,302 W 17th St, Houston,TX,77008
56950.00,8726 Scott St, Houston,TX,77051
729000.00,1050 W 8th St, Los Angeles,CA,90731
739000.00,10300 Jimenez St, Sylmar,CA,91342
875000.00,5914 Jumilla Ave, Woodland Hills,CA,91367
959000.00,21412 Dumetz Rd, Woodland Hills,CA,91364
845000.00,17434 Mayall St, Northridge,CA,91325
545000.00,331 W 10th St, San Pedro,CA,90731
2695000.00,2931 Mandeville Canyon Rd, Los Angeles,CA,90049
590000.00,15240 1/2 Dickens St, Los Angeles,CA,91403
649000.00,21821 Burbank Blvd UNIT 159, Los Angeles,CA,91367
649900.00,15843 San Fernando Mission Blvd, Granada Hills,CA,91344
999000.00,1430 S Beverly Glen Blvd APT 304, Los Angeles,CA,90024
1499900.00,6030 S Seabluff Dr APT 119, Playa Vista,CA,
605000.00,11670 W Sunset Blvd APT 217, Los Angeles,CA,90049
965000.00,5924 Crocker St, Los Angeles,CA,
569000.00,738 S Los Angeles St APT 406, Los Angeles,CA,90014
699000.00,4836 Balboa Ave UNIT A, Los Angeles,CA,91316
3200000.00,21610 Medina Estates Dr, Woodland Hills,CA,91364
1695000.00,6009 Oakdale Ave, Woodland Hills,CA,91367
395000.00,19545 Sherman Way UNIT 70, Los Angeles,CA,91335
399950.00,13986 Aztec St, Sylmar,CA,91342
200000.00,4291 Scandia Way, Los Angeles,CA,90065
1550000.00,837 W 43rd Pl, Los Angeles,CA,90037
540000.00,14050 Magnolia Blvd APT 107, Los Angeles,CA,91423
1649000.00,8933 David Ave, Los Angeles,CA,90034
1079000.00,2404 S Carolina St, San Pedro,CA,90731
750000.00,2027 W 31st St, Los Angeles,CA,90018
389000.00,308 S Cabrillo Ave APT 3, Los Angeles,CA,90731
919000.00,6632 Burnet Ave, Van Nuys,CA,91405
1473836.00,20618 W Wood Rose Ct, Porter Ranch,CA,
1795000.00,24707 Wooded Vis, West Hills,CA,91307
949950.00,16010 Wyandotte St, Van Nuys,CA,91406
610000.00,7543 Donna Ave, Reseda,CA,91335
499900.00,11027 Cohasset St, Sun Valley,CA,91352
684000.00,19524 Mobile St, Reseda,CA,91335
5025.00,4055 S Redwood Ave SUITE 458, Marina Del Rey,CA,90292
1249000.00,3970 Cherrywood Ave, Los Angeles,CA,90008
624900.00,13755 Filmore St, Pacoima,CA,91331
1588433.00,20265 W Windsor Ln, Porter Ranch,CA,
939000.00,7738 Quimby Ave, Canoga Park,CA,91304
2249000.00,8855 Skyline Dr, Los Angeles,CA,90046
465000.00,335 S Biscayne Blvd APT 1601, Miami,FL,33131
220000.00,1200 Brickell Bay Dr APT 2410, Miami,FL,33131
3400000.00,1331 Brickell Bay Dr APT 3611, Miami,FL,33131
428000.00,5729 NW 5th Ct, Miami,FL,33127
190000.00,2575 SW 27th Ave APT 212, Miami,FL,33133
420000.00,3890 NW 2nd Ter, Miami,FL,33126
490000.00,591 SW 45th Ave, Coral Gables,FL,33134
359900.00,770 Claughton Island Dr APT 1003, Miami,FL,33131
1600000.00,(undisclosed Address), Miami,FL,33137
439900.00,1860 Coral Gate Dr, Miami,FL,33145
1487000.00,1010 Brickell Ave UNIT 4401, Miami,FL,33131
489000.00,3350 SW 27th Ave APT 1708, Miami,FL,33133
379900.00,2227 SW 24th Ter, Miami,FL,33145
350000.00,1143 NW 58th St, Miami,FL,33127
710000.00,975 SW 10th St, Miami,FL,33130
499000.00,143 NW 39th St, Miami,FL,33127
330000.00,185 SE 14th Ter APT 908, Miami,FL,33131
745000.00,801 S Miami Ave UNIT 4310, Miami,FL,
4795000.00,4131 SW 37th Ave, Miami,FL,33133
499000.00,1900 N Bayshore Dr APT 1404, Miami,FL,33132
259000.00,3470 E Coast Ave APT H0906, Miami,FL,33137
517000.00,950 Brickell Bay Dr, Miami,FL,33131
465000.00,2347 SW 18th St, Miami,FL,33145
34000000.00,1429 N Venetian Way, Miami Beach,FL,33139
489900.00,246-248 NW 41st Ave, Miami,FL,33126
325000.00,6700 NW 3rd Ave, Miami,FL,33150
4400000.00,3581 E Glencoe St #505, Miami,FL,
2200000.00,7500 SW 55th Ave, Miami,FL,33143
1385000.00,769 NE 77th Ter, Miami,FL,33138
589000.00,2725 SW 65th Ave, Miami,FL,33155
295000.00,60 SW 13th St APT 2003, Miami,FL,33130
395000.00,2525 SW 3rd Ave APT 1206, Miami,FL,33129
784000.00,68 SE 6th St APT 907, Miami,FL,33131
1145000.00,650 NE 32nd St UNIT 2601, Miami,FL,33137
250000.00,50 Biscayne Blvd APT 603, Miami,FL,33132
275000.00,1750 N Bayshore Dr APT 4509, Miami,FL,33132
1399000.00,8641 Arboretum Ln, Miami,FL,
550000.00,2980 SW 16th Ter, Miami,FL,33145
485000.00,901 Brickell Key Blvd APT 1602, Miami,FL,33131
2999999.00,568 Hibiscus Ln, Miami,FL,33137
350000.00,17-44 166th St, Whitestone,NY,11357
324900.00,448 Neptune Ave APT 18A, Brooklyn,NY,11224
380000.00,637 41st St APT 2D, Brooklyn,NY,11232
340000.00,21-68 35th St #3F, Astoria,NY,11105
1799000.00,18-13 26th Ave #1, Astoria,NY,11102
210000.00,255 Fieldston Ter APT 4E, Bronx,NY,10471
228000.00,19958 21st Ave #1-166, Whitestone,NY,11357
388000.00,9952 66th Rd APT 9D, Rego Park,NY,11374
449000.00,3165 Emmons Ave APT 1E, Brooklyn,NY,11235
669000.00,1973 E 33rd St, Brooklyn,NY,11234
1750000.00,129 Tiffany Pl #A, Brooklyn,NY,11231
1499000.00,433 Beach 143 St, Rockaway Park,NY,11694
695000.00,249 Eldridge St APT 19, New York,NY,10002
725000.00,314 W 19th St APT 4A, New York,NY,10011
450000.00,14 Orchard St APT 4G, New York,NY,10002
276400.00,70 Selvin Loop #1, Staten Island,NY,10303
765000.00,3425 Olinville Ave, Bronx,NY,10467
665850.00,8081 88th Ave, Jamaica,NY,11421
849850.00,1181 E 84th St, Brooklyn,NY,11236
899900.00,104-09 Martense Ave, Corona,NY,11368
1200000.00,246-11 52nd Ave, Little Neck,NY,11362
665000.00,1912 Avenue H #4H, Brooklyn,NY,11230
1625000.00,120 E 75th St #7A, New York,NY,10021
875000.00,305 E 24th St APT 11B, New York,NY,10010
300000.00,54-17 31st Ave #A2O, Woodside,NY,11377
563500.00,3424 Tiemann Ave, Bronx,NY,10469
448500.00,2666 Briggs Ave, Bronx,NY,10458
4370000.00,25 Central Park W APT 16I, New York,NY,10023
435000.00,210 E 21st St APT 4D, New York,NY,10010
415000.00,61-35 98th St #7H, Rego Park,NY,11374
829000.00,2 Tudor City Pl APT 4JS, New York,NY,10017
2550000.00,200 Chambers St APT 16B, New York,NY,10007
569000.00,12202 Linden Blvd, South Ozone Park,NY,11420
584200.00,10242 188th St, Jamaica,NY,11423
572700.00,16 W 11th Rd, Broad Channel,NY,11693
517500.00,74 Dubois Ave, Staten Island,NY,10310
429000.00,103-06 Rockaway Beach Blvd #1A, Rockaway Park,NY,11694
330000.00,29 Eleanor Pl, Staten Island,NY,10303
1348888.00,8770 25th Ave, Brooklyn,NY,11214
836000.00,182 Olympia Blvd, Staten Island,NY,10305
474900.00,2935 W Master St, Philadelphia,PA,
219000.00,1200 Stirling St, Philadelphia,PA,19111
305000.00,11910 Barlow St, Philadelphia,PA,19116
229900.00,3148 Cottman Ave, Philadelphia,PA,19149
479900.00,3734 Brandywine St, Philadelphia,PA,19104
189900.00,7051 Charles St, Philadelphia,PA,19135
275000.00,821 Stanwood St, Philadelphia,PA,19111
99950.00,244 Laveer St, Philadelphia,PA,19120
329900.00,9258 Annapolis Rd, Philadelphia,PA,19114
59999.00,3151 G St #G, Philadelphia,PA,19134
479000.00,1113 S 7th St, Philadelphia,PA,19147
267000.00,7936 Langdon St, Philadelphia,PA,19111
389900.00,1223 N 5th St #1, Philadelphia,PA,19122
825000.00,224-30 W Rittenhouse St #606, Philadelphia,PA,19144
150000.00,6027 Hegerman St, Philadelphia,PA,19135
150000.00,1766 N Aberdeen St, Philadelphia,PA,19131
450000.00,720 Grakyn Ln, Philadelphia,PA,19128
252000.00,2649 Braddock St, Philadelphia,PA,19125
489000.00,551 Dupont St, Philadelphia,PA,
489000.00,553 Dupont St, Philadelphia,PA,
75000.00,2321 N Lambert St, Philadelphia,PA,19132
340000.00,11981 Dumont Rd, Philadelphia,PA,19116
264900.00,5409 Vicaris St, Philadelphia,PA,19128
365500.00,1126 Linn St, Philadelphia,PA,19147
84900.00,2707 W Westmoreland St, Philadelphia,PA,19129
299900.00,2870 Walnut Hill St, Philadelphia,PA,19152
545000.00,908-10 Spruce St APT 4, Philadelphia,PA,19107
59999.00,3151 G St, Philadelphia,PA,19134
175900.00,6024 Frontenac St, Philadelphia,PA,19149
749000.00,1327 S Hancock St, Philadelphia,PA,19147
165000.00,612 Lindley Ave, Philadelphia,PA,19120
70000.00,1669 Orthodox St, Philadelphia,PA,19124
429000.00,2212 E Gordon St, Philadelphia,PA,19125
339000.00,2321 Solly Ave, Philadelphia,PA,19152
70000.00,1667 Orthodox St, Philadelphia,PA,19124
385000.00,1810 Rittenhouse Sq APT 608, Philadelphia,PA,19103
154900.00,6221 N Palethorp St, Philadelphia,PA,19120
70000.00,1665 Orthodox St, Philadelphia,PA,19124
239900.00,2737 Maxwell St, Philadelphia,PA,19136
245000.00,1537 Stoney Ln #B, Philadelphia,PA,19115
799000.00,5343 E Avalon Dr, Phoenix,AZ,85018
219000.00,4502 W Continental Dr, Glendale,AZ,85308
449000.00,1921 E Daley Ln, Phoenix,AZ,85024
385000.00,4609 E Robert E Lee St, Phoenix,AZ,85032
624995.00,1002 W Glenn Dr, Phoenix,AZ,85021
659900.00,2158 E Sapium Way, Phoenix,AZ,85048
465000.00,16638 S 38th Way, Phoenix,AZ,85048
270000.00,2046 W Sherman St, Phoenix,AZ,85009
390000.00,10612 N 27th St, Phoenix,AZ,85028
1095000.00,15215 N Kierland Blvd UNIT 432, Scottsdale,AZ,85254
675000.00,16218 N 51st St, Scottsdale,AZ,85254
365000.00,1117 E Fillmore St, Phoenix,AZ,85006
245000.00,7044 S 16th Dr, Phoenix,AZ,85041
475000.00,16330 N 2nd Ave, Phoenix,AZ,85023
599000.00,9626 N 33rd St, Phoenix,AZ,85028
700000.00,22831 N 39th Ter, Phoenix,AZ,85050
214900.00,4050 W Rovey Ave, Phoenix,AZ,85019
425000.00,4624 E Saint John Rd, Phoenix,AZ,85032
415000.00,3308 W Florimond Rd, Phoenix,AZ,85086
80000.00,16242 N 27th St, Phoenix,AZ,85032
269500.00,475 N 9th St #307, Phoenix,AZ,
699800.00,16013 N 58th Pl, Scottsdale,AZ,85254
204500.00,475 N 9th St #102, Phoenix,AZ,
215000.00,3852 N 63rd Dr, Phoenix,AZ,85033
249900.00,4850 E Desert Cove Ave UNIT 241, Scottsdale,AZ,85254
220000.00,5313 W Raymond St, Phoenix,AZ,85043
495000.00,15221 N Clubgate Dr UNIT 2001, Scottsdale,AZ,85254
504900.00,15221 N Clubgate Dr UNIT 2031, Scottsdale,AZ,85254
264777.00,4037 W San Juan Ave, Phoenix,AZ,85019
1095000.00,4215 E Weldon Ave, Phoenix,AZ,85018
237000.00,3625 W Saint Charles Ave, Phoenix,AZ,85041
204900.00,8230 W Cheery Lynn Rd, Phoenix,AZ,85033
685000.00,2347 W Coolidge St, Phoenix,AZ,85015
200000.00,3532 W Banff Ln, Phoenix,AZ,85053
995000.00,5130 N 22nd Ave, Phoenix,AZ,85015
480000.00,5525 N 2nd Pl LOT 4, Phoenix,AZ,85012
230000.00,801 W Piedmont Rd, Phoenix,AZ,85041
280000.00,10120 W Raymond St, Tolleson,AZ,85353
359900.00,14239 N 22nd St, Phoenix,AZ,85022
330000.00,1622 E Cheery Lynn Rd, Phoenix,AZ,85016
249900.00,90 Mount Lebanon Blvd, Pittsburgh,PA,15228
334900.00,416 Hickory Ct, Pittsburgh,PA,15238
269900.00,4587 Clubvue Dr, Pittsburgh,PA,15236
269900.00,4587-1110 Greentree Rd, Pittsburgh,PA,15220
449000.00,519 Farndale Rd, Pittsburgh,PA,15238
234000.00,130 Link Ave, Pittsburgh,PA,15237
429000.00,31 Mission Dr, Pittsburgh,PA,15228
115000.00,88 Beltzhoover Ave, Pittsburgh,PA,15210
664900.00,820 College Ave, Pittsburgh,PA,15232
139000.00,128 Williams Pl, Pittsburgh,PA,15221
598000.00,2343 Morton Rd, Pittsburgh,PA,15241
319900.00,915 Wettach St, Pittsburgh,PA,15212
299949.00,569 Kelso Rd, Pittsburgh,PA,15243
69900.00,1431 Adams St, Pittsburgh,PA,15233
345000.00,1212 Sky Ridge Dr, Pittsburgh,PA,15241
2650000.00,1 Edgewood Rd, Pittsburgh,PA,15215
199000.00,1967 W Beckert Ave, Pittsburgh,PA,15212
285000.00,517 Perrymont Rd, Pittsburgh,PA,15237
319900.00,533 Moreland Dr, Pittsburgh,PA,15243
27000.00,3919 Portman Ave, Pittsburgh,PA,15214
25000.00,424 Saint Joseph St, Pittsburgh,PA,15210
138000.00,4575 Echo Glen Dr, Pittsburgh,PA,15236
75000.00,1516 Loretta Dr, Pittsburgh,PA,15235
429000.00,464 Arden Rd, Pittsburgh,PA,15216
279900.00,2320 Eldridge St, Pittsburgh,PA,15217
114700.00,761 Lee Avenue Ext, Pittsburgh,PA,15237
195000.00,4723 Theodore St, Homestead,PA,15120
229000.00,132 Brunner Dr, Pittsburgh,PA,15214
85000.00,420 N Chestnut St APT 103, Pittsburgh,PA,15202
284000.00,184 Martha Ave, Pittsburgh,PA,15209
235000.00,1 Trimont Ln APT 202P, Pittsburgh,PA,15211
285000.00,186 S 16th St, Pittsburgh,PA,15203
269900.00,5605 Villahaven Dr, Pittsburgh,PA,15236
219000.00,10 Chestnut St, Pittsburgh,PA,15202
325000.00,104 Seddon Rd, Pittsburgh,PA,15218
1250000.00,692 Country Club Dr, Pittsburgh,PA,15228
649000.00,28 Easton Rd, Pittsburgh,PA,15238
178500.00,2216 Palm Beach Ave, Pittsburgh,PA,15216
369900.00,2344 Norton Rd, Pittsburgh,PA,15241
235500.00,5 Bayard Rd APT 819, Pittsburgh,PA,15213
479900.00,6690 SE 67th Ave, Portland,OR,
779000.00,4224 SW Condor Ave, Portland,OR,97239
369900.00,5286 NE 72nd Ave, Portland,OR,97218
399900.00,4024 N Commercial Ave, Portland,OR,97227
485000.00,3505 SE 16th Ave, Portland,OR,97202
485000.00,4104 NE 73rd Ave, Portland,OR,97218
675000.00,14585 NW Larson Rd UNIT 5, Portland,OR,97231
749900.00,2565 NE 33rd Ave, Portland,OR,97212
590000.00,2309 SW 1st Ave APT 942, Portland,OR,97201
